location_id,vehicle_id,latitude,longitude,speed_kmh,timestamp,status
LOC_0053,VH_016,6.522072,3.574013,52.0,2024-03-14 10:18:00,Moving
LOC_0054,VH_018,6.672381,3.235784,59.1,2024-01-10 05:26:00,Stopped
LOC_0055,VH_016,6.680177,3.214536,14.9,2024-03-15 01:00:00,Idle
LOC_0056,VH_010,6.570389,3.24292,36.3,2024-06-13 17:33:00,
LOC_0057,VH_009,6.666778,3.25368,15.4,2024-01-29 10:10:00,
LOC_0058,VH_011,999.99,3.487439,63.3,2024-05-25 21:48:00,Stopped
LOC_0059,VH_014,6.452648,3.542459,41.2,2024-01-23 12:42:00,Moving
LOC_0060,VH_008,6.455434,3.256245,0.5,2024-04-08 07:28:00,Idle
LOC_0061,VH_001,6.68621,3.320778,20.9,2024-04-02 22:15:00,Moving
LOC_0062,VH_017,6.600336,3.386158,73.8,2024-06-29 09:44:00,Moving
LOC_0063,VH_008,6.591613,3.576254,17.5,2024-02-04 15:09:00,
LOC_0064,VH_018,6.62432,3.442296,73.0,2024-05-17 21:52:00,Stopped
LOC_0065,VH_003,6.628558,3.472137,42.0,2024-05-15 22:23:00,Moving
LOC_0066,VH_017,6.675173,3.244884,16.2,2024-05-17 04:10:00,Idle
LOC_0067,VH_019,6.656346,3.376736,39.1,2024-05-10 14:51:00,Moving
LOC_0068,VH_002,6.53603,3.405299,44.7,2024-06-21 09:46:00,Moving
LOC_0069,VH_019,6.518785,3.526581,5.8,2024-04-18 11:44:00,Moving
LOC_0070,VH_016,6.562349,3.224102,2.5,2024-04-14 05:49:00,Stopped
LOC_0071,VH_014,6.629748,3.591333,30.0,2024-04-07 14:55:00,
LOC_0072,VH_018,6.512694,3.473092,10.6,2024-03-30 03:11:00,
LOC_0073,VH_001,6.558653,3.491143,60.5,2024-03-17 14:43:00,
LOC_0074,VH_012,6.55958,3.529344,12.4,2024-02-18 23:48:00,Moving
LOC_0075,VH_001,6.409665,3.464079,19.3,2024-01-18 03:38:00,Moving
LOC_0076,VH_008,6.533932,3.468809,59.2,2024-04-12 14:14:00,Stopped
LOC_0077,VH_010,6.626316,3.510425,18.7,2024-05-27 10:36:00,Idle
LOC_0078,VH_017,6.471071,3.550503,17.7,2024-03-17 08:03:00,Stopped
LOC_0079,VH_012,6.587798,3.37088,75.3,2024-06-20 12:50:00,Idle
LOC_0080,VH_006,6.608893,3.363304,60.4,2024-05-01 07:54:00,Stopped
LOC_0081,VH_002,6.490221,3.483031,45.0,2024-04-16 17:33:00,Stopped
LOC_0082,VH_003,6.516526,3.301998,73.8,2024-04-04 02:34:00,Stopped
LOC_0083,VH_002,6.415461,3.350867,69.9,2024-02-18 18:46:00,Stopped
LOC_0084,VH_001,6.543818,3.54779,16.9,2024-02-18 23:07:00,
LOC_0085,VH_013,6.674332,3.478251,73.2,2024-05-21 10:49:00,Idle
LOC_0086,VH_009,6.514199,3.41346,28.8,2024-05-07 14:06:00,
LOC_0087,VH_011,6.628489,3.328093,33.1,2024-05-24 07:47:00,Stopped
LOC_0088,VH_014,6.404866,3.421325,23.6,2024-02-20 10:14:00,
LOC_0089,VH_011,6.570937,3.298292,20.6,2024-05-05 23:41:00,
LOC_0090,VH_005,6.538249,3.493109,57.6,2024-05-05 05:58:00,Moving
LOC_0091,VH_002,6.557183,3.535627,61.1,2024-04-15 04:53:00,Stopped
LOC_0092,VH_015,6.42039,3.260412,29.9,2024-06-07 20:42:00,
LOC_0093,VH_014,6.597785,3.206293,0.9,2024-05-15 23:17:00,Idle
LOC_0094,VH_006,6.405143,3.525263,8.6,2024-01-25 16:09:00,Stopped
LOC_0095,VH_009,6.45758,3.410582,63.6,2024-01-21 11:25:00,
LOC_0096,VH_003,6.569501,3.596093,52.3,2024-06-15 01:05:00,
LOC_0097,VH_001,6.513779,3.421081,56.2,2024-01-22 15:54:00,
LOC_0098,VH_004,6.593472,3.332508,71.6,2024-01-11 07:13:00,
LOC_0099,VH_009,6.481329,3.569664,71.9,2024-05-24 21:02:00,Stopped
LOC_0100,VH_019,6.67863,3.325794,11.5,2024-04-11 02:19:00,Stopped
LOC_0101,VH_018,6.569187,3.426678,26.5,2024-02-05 22:46:00,Moving
LOC_0102,VH_014,6.550238,3.589729,18.6,2024-01-20 10:38:00,
LOC_0103,VH_015,6.690676,3.330551,39.2,2024-04-01 17:24:00,
LOC_0104,VH_020,6.455721,3.43435,23.6,2024-03-04 22:04:00,Moving
LOC_0105,VH_005,6.480392,3.352,59.2,2024-03-22 11:06:00,Moving
LOC_0106,VH_009,6.401559,3.323307,8.2,2024-01-23 05:27:00,
LOC_0107,VH_003,6.567096,3.404976,28.3,2024-01-24 19:38:00,Idle
LOC_0108,VH_003,6.659115,3.204936,58.0,2024-05-23 07:36:00,Stopped
LOC_0109,VH_009,6.605595,3.267801,39.4,2024-01-17 05:27:00,Idle
LOC_0110,VH_009,6.526331,3.393693,75.5,2024-06-09 15:38:00,Stopped
LOC_0111,VH_013,999.99,3.254196,26.6,2024-06-07 12:51:00,Idle
LOC_0112,VH_020,6.532067,3.372246,10.9,2024-03-23 19:44:00,Stopped
LOC_0113,VH_011,6.543703,3.271055,23.3,2024-06-26 20:31:00,Stopped
LOC_0114,VH_012,6.497766,3.31212,9.1,2024-05-24 06:37:00,Stopped
LOC_0115,VH_015,6.604514,3.42004,75.4,2024-02-23 14:51:00,Idle
LOC_0116,VH_014,6.649385,3.227663,53.8,2024-02-05 20:19:00,Stopped
LOC_0117,VH_013,6.475805,3.261657,5.9,2024-06-02 15:37:00,
LOC_0118,VH_014,6.56031,3.569398,43.5,2024-04-02 22:57:00,Moving
LOC_0119,VH_006,6.432811,3.299292,51.8,2024-01-12 18:41:00,
LOC_0120,VH_004,6.690043,3.332639,0.8,2024-03-07 07:32:00,Stopped
LOC_0121,VH_019,6.533734,3.356454,55.2,2024-02-08 11:01:00,
LOC_0122,VH_004,6.431365,3.36639,66.5,2024-02-06 11:19:00,Idle
LOC_0123,VH_016,6.5366,3.282747,7.8,2024-06-27 14:20:00,Moving
LOC_0124,VH_011,6.490079,3.524074,51.8,2024-06-22 05:59:00,Stopped
LOC_0125,VH_014,6.554798,3.420764,76.7,2024-02-29 12:40:00,Stopped
LOC_0126,VH_020,6.455916,3.462923,70.6,2024-04-25 18:27:00,
LOC_0127,VH_003,6.401335,3.285918,46.2,2024-05-17 05:23:00,Idle
LOC_0128,VH_016,6.459122,3.245582,42.2,2024-06-12 10:38:00,
LOC_0129,VH_015,6.583393,3.434802,49.4,2024-06-21 22:51:00,Idle
LOC_0130,VH_011,6.675605,3.436067,9.4,2024-03-19 03:11:00,Idle
LOC_0131,VH_005,6.608031,3.40433,46.0,2024-04-18 05:31:00,Stopped
LOC_0132,VH_011,6.566474,3.395857,67.4,2024-06-07 01:55:00,Idle
LOC_0133,VH_013,6.685553,3.393844,77.1,2024-05-09 20:31:00,
LOC_0134,VH_016,6.605409,3.366252,13.4,2024-05-24 00:50:00,Stopped
LOC_0135,VH_006,6.487627,3.309941,62.5,2024-05-24 23:49:00,
LOC_0136,VH_018,6.564918,3.245284,65.9,2024-04-03 17:52:00,Moving
LOC_0137,VH_014,6.628001,3.376547,8.2,2024-06-16 07:19:00,Moving
LOC_0138,VH_015,6.53492,3.339431,69.2,2024-01-31 07:13:00,Idle
LOC_0139,VH_020,6.658315,3.444105,11.1,2024-02-22 06:51:00,Moving
LOC_0140,VH_006,6.571022,3.412912,25.9,2024-06-29 09:18:00,Idle
LOC_0141,VH_004,6.685719,3.405766,10.8,2024-04-15 01:17:00,Stopped
LOC_0142,VH_011,6.610428,3.253076,66.3,2024-06-22 12:31:00,Stopped
LOC_0143,VH_015,6.573228,3.307487,6.0,2024-01-24 12:32:00,Idle
LOC_0144,VH_016,6.608411,3.550927,26.2,2024-01-01 23:05:00,
LOC_0145,VH_018,6.590452,3.478916,31.8,2024-04-19 06:31:00,Idle
LOC_0146,VH_005,6.49686,3.313437,45.3,2024-05-04 10:57:00,Moving
LOC_0147,VH_001,6.413783,3.450472,9.9,2024-02-10 14:29:00,Moving
LOC_0148,VH_005,6.697551,3.37112,70.6,2024-03-18 05:55:00,Idle
LOC_0149,VH_006,6.428002,3.344174,4.1,2024-06-09 09:46:00,Stopped
LOC_0150,VH_007,6.528769,3.23648,38.1,2024-02-03 18:14:00,
